Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2015-05-01,28.7604,41.9202,21.1435,79.5756,78.6195,26.7682,25.8267,2.31,0.5481,113.2499,161.8144,13.036,48.3388,28.3858
2015-05-04,28.7046,41.5584,21.152,79.2713,78.4403,26.9115,25.8344,2.31,0.5448,113.084,163.2644,13.303,49.1823,28.6885
2015-05-05,28.0578,41.007,21.0595,80.7928,77.1962,26.4149,25.4063,2.28,0.5308,111.6326,161.6178,13.2302,48.9391,28.3404
2015-05-06,27.8816,39.8698,20.955,80.077,77.7336,26.0874,25.0794,2.29,0.5325,111.1764,160.7659,13.1817,48.5743,28.0377
2015-05-07,28.0541,40.2317,21.344,80.7485,78.0571,26.4099,25.0988,2.32,0.5419,112.1302,161.6997,13.1412,49.0151,28.4085
2015-05-08,28.5826,41.1362,21.6845,82.0856,78.1417,26.7841,25.5308,2.31,0.5017,113.4572,164.2474,13.3111,49.7674,28.6734
2015-05-11,28.2915,40.8089,21.6425,84.2778,77.6441,26.6587,25.4452,2.32,0.497,111.6326,165.255,13.3435,49.737,28.9458
2015-05-12,28.1907,40.7916,21.551,83.3771,77.0966,26.3273,25.1027,2.35,0.5019,112.0888,164.272,13.2949,49.6686,28.5447
2015-05-13,28.2221,41.0329,21.3435,82.8728,78.072,26.3562,25.4063,2.37,0.5048,112.8352,165.0093,13.3273,49.7902,28.5901
2015-05-14,28.8805,41.9719,21.614,83.8356,80.9883,26.7931,25.6631,2.33,0.513,113.6645,165.9841,13.3678,50.193,28.8626
2015-05-15,28.8402,41.6101,21.3,87.6071,80.0428,26.5667,25.6787,2.32,0.5132,113.084,166.2708,13.2302,50.0638,28.6431
2015-05-18,29.1582,41.3602,21.262,88.267,80.5006,26.4895,26.0056,2.35,0.5125,113.2499,167.6552,13.3597,50.4741,29.0063
2015-05-19,29.1314,41.2562,21.0855,88.0685,80.2518,26.7413,25.8033,2.28,0.5093,113.4158,168.2614,13.5701,50.9225,29.2788
2015-05-20,29.1291,41.2562,21.193,88.7899,80.1721,26.8364,25.9745,2.32,0.5093,114.6183,167.9993,13.5458,50.5197,29.0063
2015-05-21,29.427,41.1174,21.5815,89.0028,80.1025,26.9976,26.1146,2.28,0.5056,114.9501,167.8928,13.5377,50.6489,28.7869
2015-05-22,29.6846,40.6666,21.3815,88.8385,80.1622,26.8782,26.0368,2.28,0.5049,114.7842,170.2275,13.5539,50.5121,28.8853
2015-05-26,29.0306,40.3978,21.2735,87.9928,78.9628,26.4905,25.7682,2.22,0.5018,114.1207,169.0642,13.3516,49.9498,28.5977
2015-05-27,29.5726,41.2822,21.571,89.8571,80.1721,26.8623,26.2391,2.28,0.5286,114.1207,171.2597,13.5458,50.5121,29.2258
2015-05-28,29.5143,41.1435,21.3285,89.5071,79.769,26.8618,26.4727,2.27,0.5359,114.5768,171.3172,13.4891,50.307,29.309
2015-05-29,29.1784,40.6319,21.4615,89.1513,78.8185,26.4801,26.8229,2.28,0.5356,113.084,169.4354,13.3516,49.9878,28.908
2015-06-01,29.2366,40.9527,21.546,89.0028,79.9134,26.5736,26.3909,2.25,0.5417,113.1255,170.7666,13.392,50.2158,29.1955
2015-06-02,29.1067,40.6839,21.5495,89.1299,80.0676,26.8319,25.8967,2.3,0.5309,113.3328,169.6326,13.5296,50.1702,29.1501
2015-06-03,29.1426,40.6232,21.8295,88.8085,82.0533,26.8881,25.4763,2.28,0.5252,114.1622,171.1611,13.7406,50.6869,29.5209
2015-06-04,28.9723,40.1983,21.539,89.3485,81.6651,26.7085,25.1494,2.33,0.5347,113.0425,171.6377,13.6189,50.4058,29.2863
2015-06-05,28.8133,40.0076,21.3475,90.4599,81.7547,26.5408,24.7836,2.33,0.5388,113.1669,172.936,13.9516,51.2341,29.7328
2015-06-08,28.623,39.6521,21.175,89.6042,80.2916,26.2173,24.3632,2.31,0.5264,112.9596,172.3937,13.8624,50.8313,29.5815
2015-06-09,28.5379,39.5827,21.274,92.4499,80.2916,26.2104,24.3243,2.29,0.5291,113.3328,171.7609,14.049,51.0517,29.6118
2015-06-10,28.8648,40.4151,21.5385,95.8713,81.7746,26.708,24.768,2.32,0.5197,114.5768,175.1383,14.2763,51.8724,30.1869
2015-06-11,28.7999,40.2677,21.6485,95.0942,81.4461,26.6045,24.7914,2.32,0.5252,114.0793,175.8039,14.1951,52.07,30.1717
2015-06-12,28.4819,39.8602,21.496,94.4185,81.1476,26.491,24.3788,2.31,0.511,113.5816,175.0808,14.1951,51.8648,29.975
2015-06-15,28.4259,39.4353,21.1835,93.4313,80.3314,26.2357,24.4333,2.32,0.51,112.8352,174.0125,14.1789,51.6672,29.9145
2015-06-16,28.5782,39.7388,21.363,95.2728,80.6798,26.283,24.624,2.35,0.5163,112.8766,175.4916,14.2438,51.956,30.0734
2015-06-17,28.511,39.8602,21.3905,94.2713,81.4063,26.3382,24.8692,2.47,0.5223,113.084,174.974,14.0977,51.7812,29.9523
2015-06-18,28.6409,40.5105,21.9695,94.7428,82.5161,26.71,25.2039,2.52,0.531,114.4641,176.3463,14.1058,52.2676,30.1112
2015-06-19,28.3542,39.9729,21.746,93.8713,82.123,26.708,24.9626,2.58,0.5294,113.9204,175.1876,13.9354,51.7356,29.7934
2015-06-22,28.5804,40.0856,21.8145,96.4142,84.3425,26.7826,25.1105,2.62,0.5271,114.6732,177.9158,14.1789,52.4044,30.1566
2015-06-23,28.4505,39.8081,22.2995,97.3127,87.4678,26.8966,24.9743,2.61,0.5136,115.2168,179.4689,14.3412,53.0047,30.429
2015-06-24,28.6924,39.574,22.042,96.9442,88.4432,26.7652,24.8381,2.62,0.5085,114.004,176.2066,14.1951,52.4499,29.9977
2015-06-25,28.5558,39.5827,22.005,94.8913,87.5673,26.6353,24.9003,2.58,0.5124,113.084,174.8836,14.0977,52.1688,29.6799
2015-06-26,28.3878,39.2445,21.905,93.0885,87.5972,26.4592,24.1453,2.47,0.502,113.2931,175.1712,14.1302,52.3968,29.8917
2015-06-29,27.8906,38.4728,21.493,92.2314,85.3975,25.9531,23.6549,2.34,0.487,111.4111,170.6351,13.7082,51.0669,28.9912
2015-06-30,28.0922,38.2821,21.7045,93.8485,85.3627,25.9028,23.6744,2.4,0.4868,111.1184,171.5719,13.8137,51.4924,29.3545
2015-07-01,28.3542,38.5422,21.8695,93.6356,86.5023,25.969,23.4915,2.42,0.4938,111.4948,172.5169,13.976,52.0661,29.7858
2015-07-02,28.3184,38.4988,21.8855,94.0442,86.8756,26.0466,23.7834,2.53,0.4943,111.9967,171.9088,13.8218,51.6454,29.5134
2015-07-06,28.2198,38.4902,21.802,94.5713,87.1393,26.0198,23.3825,2.47,0.4882,110.031,170.9556,13.7487,51.5001,29.3999
